Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
AMBT,Ambient Corporation,5.1,84697658.4,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ambt
AMCX,AMC Networks Inc.,41.04,2942510831,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
AMED,Amedisys Inc,15.09,462324945.2,n/a,1987,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,105.08,2060386363,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ASBI,Ameriana Bancorp,6.32,18890176.64,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi
ATAX,"America First Tax Exempt Investors, L.P.",5.98,180135109.4,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",25.2556,97221432200,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AGNC,American Capital Agency Corp.,36.68,12529834814,n/a,1983,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCP,American Capital Agency Corp.,26.4,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
MTGE,American Capital Mortgage Investment Corp.,26.56,963121376,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
ACAS,"American Capital, Ltd.",11.83,3840668129,n/a,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
ANCI,American Caresource Holdings Inc,1.519,8669151.736,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci
AETI,"American Electric Technologies, Inc.",4.65,36803285.25,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMIC,American Independence Corp.,5.35,44256976.2,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic
ALRN,American Learning Corporation,0.85,4181672.75,n/a,1984,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/alrn
AMNB,"American National Bankshares, Inc.",23.18,181639778.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,71.5,1918821476,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
APFC,American Pacific Corporation,12.3,93757869.3,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apfc
APEI,"American Public Education, Inc.",38.6,696582741,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",31.93,681778843.2,n/a,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
ARCP,"American Realty Capital Properties, Inc.",12.27,136977580.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp
ARCT          ,"American Realty Capital Trust, Inc.",12.09,1916007229,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arct          
AMRB,American River Bankshares,7.155,66745281.56,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
ASEI,"American Science and Engineering, Inc.",61.93,522120311,n/a,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei
AMSWA,"American Software, Inc.",8,217082048,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,3.87,203684481.6,n/a,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,20.1,291520752,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",48.58,441713261.4,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,12.63,300835788.7,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",26.46,481234000,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,2.92,56310801.32,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
